年級,科目,教授,年份,類別,名稱,路徑
大一,物理(一),簡文彬,nan,講義,lec36,大一/物理(一)/簡文彬/投影片/Lecture36.pdf
大一,物理(一),簡文彬,nan,講義,lec37,大一/物理(一)/簡文彬/投影片/Lecture37.pdf
大一,物理(一),簡文彬,nan,講義,lec38,大一/物理(一)/簡文彬/投影片/Lecture38.pdf
大一,物理(一),簡文彬,nan,講義,lec39,大一/物理(一)/簡文彬/投影片/Lecture39.pdf
大一,物理(一),簡文彬,nan,補充,chap22,大一/物理(一)/簡文彬/延伸學習/chapter22_exec.pdf
大一,物理(一),簡文彬,nan,補充,chap23-24,大一/物理(一)/簡文彬/延伸學習/chapter23-24_exec.pdf
大一,物理(一),簡文彬,nan,補充,chape25,大一/物理(一)/簡文彬/延伸學習/chapter25_exec.pdf
大一,物理(一),簡文彬,nan,補充,chap26-27,大一/物理(一)/簡文彬/延伸學習/Chapter26-27_exec.pdf
大一,物理(一),簡文彬,nan,補充,chap28-29,大一/物理(一)/簡文彬/延伸學習/Chapter28-29_exec.pdf
大一,物理(一),簡文彬,nan,補充,chap30-31,大一/物理(一)/簡文彬/延伸學習/Chapter30-31_exec.pdf
大一,物理(一),簡文彬,nan,補充,chap32,大一/物理(一)/簡文彬/延伸學習/Chapter32_exec.pdf
大一,物理(一),簡文彬,nan,補充,chap33,大一/物理(一)/簡文彬/延伸學習/Chapter33_exec.pdf
大一,物理(一),簡文彬,nan,補充,chap34,大一/物理(一)/簡文彬/延伸學習/chapter34-36exec.pdf
大一,物理(一),簡文彬,nan,補充,chap37,大一/物理(一)/簡文彬/延伸學習/chapter37exec.pdf
大一,物理(一),簡文彬,nan,補充,chap38,大一/物理(一)/簡文彬/延伸學習/chapter38_exec.pdf
大一,物理(一),鍾介文,109學年,期中考,midterm,大一/物理(一)/鍾介文/109學年/midterm.zip
大一,物理(一),鍾介文,108學年,作業,hw1,大一/物理(一)/鍾介文/108學年/Homework-20201007/20190927_PhysI_Homework_1.pdf
大一,物理(一),鍾介文,108學年,作業,hw2,大一/物理(一)/鍾介文/108學年/Homework-20201007/20191004_PhysI_Homework_2.pdf
大一,物理(一),鍾介文,108學年,作業,hw3,大一/物理(一)/鍾介文/108學年/Homework-20201007/20191101_PhysI_Homework_3.pdf
大一,物理(一),鍾介文,108學年,作業,hw4,大一/物理(一)/鍾介文/108學年/Homework-20201007/20191108_PhysI_Homework_4.pdf
大一,物理(一),鍾介文,108學年,作業,hw5,大一/物理(一)/鍾介文/108學年/Homework-20201007/20191115_PhysI_Homework_5.pdf
大一,物理(一),鍾介文,108學年,作業,hw6,大一/物理(一)/鍾介文/108學年/Homework-20201007/20191122_PhysI_Homework_6.pdf
大一,物理(一),鍾介文,108學年,作業,hw7,大一/物理(一)/鍾介文/108學年/Homework-20201007/20191213_PhysI_Homework_7.pdf
大一,物理(一),鍾介文,108學年,作業,hw8,大一/物理(一)/鍾介文/108學年/Homework-20201007/20191220_PhysI_Homework_8.pdf
大一,物理(一),鍾介文,108學年,作業,hw9,大一/物理(一)/鍾介文/108學年/Homework-20201007/20191227_PhysI_Homework_9.pdf
大一,物理(一),鍾介文,108學年,講義,lec0,大一/物理(一)/鍾介文/Slides-20201007/PhysI_Lecture0.pdf
大一,物理(一),鍾介文,108學年,講義,lec1,大一/物理(一)/鍾介文/Slides-20201007/PhysI_Lecture1.pdf
大一,物理(一),鍾介文,108學年,講義,lec2,大一/物理(一)/鍾介文/Slides-20201007/PhysI_Lecture2.pdf
大一,物理(一),鍾介文,108學年,講義,lec3,大一/物理(一)/鍾介文/Slides-20201007/PhysI_Lecture3.pdf
大一,物理(一),鍾介文,108學年,講義,lec4,大一/物理(一)/鍾介文/Slides-20201007/PhysI_Lecture4.pdf
大一,物理(一),鍾介文,108學年,講義,lec5,大一/物理(一)/鍾介文/Slides-20201007/PhysI_Lecture5_CircularMotion.pdf
大一,物理(一),鍾介文,108學年,講義,lec6_1,大一/物理(一)/鍾介文/Slides-20201007/PhysI_Lecture6_1_Energy.pdf
大一,物理(一),鍾介文,108學年,講義,lec6_2,大一/物理(一)/鍾介文/Slides-20201007/PhysI_Lecture6_2_EnergyConservation.pdf
大一,物理(一),鍾介文,108學年,講義,lec7,大一/物理(一)/鍾介文/Slides-20201007/PhysI_Lecture7_Momentum.pdf
大一,物理(一),鍾介文,108學年,講義,lec8,大一/物理(一)/鍾介文/Slides-20201007/PhysI_Lecture8.pdf
大一,物理(一),鍾介文,108學年,講義,lec9,大一/物理(一)/鍾介文/Slides-20201007/PhysI_Lecture9.pdf
大一,物理(一),鍾介文,108學年,講義,lec10_1,大一/物理(一)/鍾介文/Slides-20201007/PhysI_Lecture10_1_SHM.pdf
大一,物理(一),鍾介文,108學年,講義,lec10_2,大一/物理(一)/鍾介文/Slides-20201007/PhysI_Lecture10_2_Damping_Forced_Osc.pdf
大一,物理(一),鍾介文,108學年,講義,lec11,大一/物理(一)/鍾介文/Slides-20201007/PhysI_Lecture11.pdf
大一,物理(一),鍾介文,108學年,講義,lec12,大一/物理(一)/鍾介文/Slides-20201007/PhysI_Lecture12_Part1.pdf
大一,物理(一),鍾介文,108學年,講義,midterm_instruction,大一/物理(一)/鍾介文/Slides-20201007/PhysI_MidtermII_Instruction.pdf
大一,物理(一),鍾介文,108學年,講義,final_instruction,大一/物理(一)/鍾介文/Slides-20201007/PhysI_FinalExam_Instruction.pdf
大一,物理(一),楊本立,106學年,期中考,midterm1,大一/物理(一)/楊本立/106學年/段考.pdf
大一,物理(一),楊本立,107學年,期中考,midterm1,大一/物理(一)/楊本立/107學年/第一次期中question_answer.pdf
大一,物理(一),楊本立,107學年,期中考,midterm2,大一/物理(一)/楊本立/107學年/第二次期中question_answer.pdf
大一,物理(一),楊本立,107學年,期末考,final,大一/物理(一)/楊本立/107學年/期末考question_answer.pdf
大一,物理(一),楊本立,109學年,期中考,midterm1,大一/物理(一)/楊本立/109學年/Midterm1answer.pdf
大一,物理(一),楊本立,109學年,期中考,midterm2,大一/物理(一)/楊本立/109學年/Midterm2answer.pdf
大一,物理(一),黃凱風,108學年,小考,test1,大一/物理(一)/黃凱風/108學年/test1.zip
大一,物理(一),黃凱風,108學年,小考,test2,大一/物理(一)/黃凱風/108學年/test2.zip
大一,物理(一),黃凱風,108學年,小考,test3,大一/物理(一)/黃凱風/108學年/test3.zip
大一,物理(一),陳文雄,101學年,期中考,midterm1,大一/物理(一)/陳文雄/101學年/midterm1.zip
大一,物理(一),陳文雄,101學年,期中考,midterm2,大一/物理(一)/陳文雄/101學年/midterm2.zip
大一,物理(一),陳文雄,101學年,期末考,final,大一/物理(一)/陳文雄/101學年/final.zip
大一,物理(一),郭昌洋,109學年,期中考,midterm1,大一/物理(一)/郭昌洋/2020/midterm1.zip
大一,物理(一),吳光雄,100學年,期中考,midterm1,大一/物理(一)/吳光雄/100學年/midterm1.zip
大一,物理(一),吳光雄,100學年,期中考,midterm2,大一/物理(一)/吳光雄/100學年/midterm2.zip
大一,物理(一),吳光雄,100學年,期末考,final,大一/物理(一)/吳光雄/100學年/final.zip
大一,物理(二),籔下篤史,105學年,期中考,midterm1,大一/物理(二)/籔下篤史/105學年/midterm1.zip
大一,物理(二),籔下篤史,105學年,期中考,midterm2,大一/物理(二)/籔下篤史/105學年/midterm2.zip
大一,物理(二),籔下篤史,105學年,期中考,midterm3,大一/物理(二)/籔下篤史/105學年/midterm3.zip
