科目,教授,年份,類別,類型,名稱,路徑
射頻電路原理與實驗,紀佩綾,未知,講義,pdf,LNA,大三以上選修/射頻電路原理與實驗/紀佩綾/射頻實驗5-LNA.pdf
射頻電路原理與實驗,紀佩綾,未知,講義,pdf,Oscillator,大三以上選修/射頻電路原理與實驗/紀佩綾/Oscillator.pdf
射頻電路原理與實驗,紀佩綾,未知,講義,pdf,AWR-basics,大三以上選修/射頻電路原理與實驗/紀佩綾/AWR-basics.pdf
控制系統設計,吳炳飛,106學年,期中考,zip,midterm,大三以上選修/控制系統設計/吳炳飛/Midterm/2017S/midterm.zip
控制系統設計,吳炳飛,106學年,期末考,zip,final,大三以上選修/控制系統設計/吳炳飛/Final/2017S/final.zip
控制系統設計,吳炳飛,106學年,作業,zip,HW1,大三以上選修/控制系統設計/吳炳飛/HW/2017S/No2/HW1.zip
控制系統設計,吳炳飛,106學年,作業,zip,HW2,大三以上選修/控制系統設計/吳炳飛/HW/2017S/No2/HW2.zip
控制系統設計,吳炳飛,106學年,作業,zip,HW3,大三以上選修/控制系統設計/吳炳飛/HW/2017S/No2/HW3.zip
控制系統設計,吳炳飛,106學年,作業,zip,HW4,大三以上選修/控制系統設計/吳炳飛/HW/2017S/No2/HW4.zip
控制系統設計,吳炳飛,106學年,作業,doc,HW3,大三以上選修/控制系統設計/吳炳飛/HW/2017S/No1/CSD_2017_Homework_3.doc
控制系統設計,吳炳飛,106學年,作業,doc,HW5,大三以上選修/控制系統設計/吳炳飛/HW/2017S/No1/CSD_2017_Homework_5.doc
控制系統設計,吳炳飛,106學年,作業,doc,HW6,大三以上選修/控制系統設計/吳炳飛/HW/2017S/No1/CSD_2017_Homework_6.doc
控制系統設計,吳炳飛,106學年,作業,doc,HW7,大三以上選修/控制系統設計/吳炳飛/HW/2017S/No1/CSD_2017_Homework_7.doc
控制系統設計,吳炳飛,106學年,小考,zip,quiz1,大三以上選修/控制系統設計/吳炳飛/Quiz/quiz1.zip
控制系統設計,吳炳飛,106學年,小考,zip,quiz2,大三以上選修/控制系統設計/吳炳飛/Quiz/quiz2.zip
控制系統設計,吳炳飛,106學年,小考,pdf,quiz3,大三以上選修/控制系統設計/吳炳飛/Quiz/Quiz3_2017_Spring.pdf
控制系統設計,吳炳飛,106學年,小考,zip,quiz4,大三以上選修/控制系統設計/吳炳飛/Quiz/quiz4.zip
控制系統設計,吳炳飛,107學年,期中考,pdf,midterm,大三以上選修/控制系統設計/吳炳飛/Midterm/2018S/CSD_Midterm.pdf
控制系統設計,吳炳飛,107學年,期末考,pdf,final,大三以上選修/控制系統設計/吳炳飛/Final/2018S/CSD_Final.pdf
控制系統設計,吳炳飛,107學年,作業,doc,HW1,大三以上選修/控制系統設計/吳炳飛/HW/2018S/CSD_2018_Homework1.doc
控制系統設計,吳炳飛,107學年,作業,doc,HW2,大三以上選修/控制系統設計/吳炳飛/HW/2018S/CSD_2018_Homework2.doc
控制系統設計,吳炳飛,107學年,作業,doc,HW3,大三以上選修/控制系統設計/吳炳飛/HW/2018S/CSD_2018_Homework3.doc
控制系統設計,吳炳飛,107學年,作業,doc,HW4,大三以上選修/控制系統設計/吳炳飛/HW/2018S/CSD_2018_Homework4.doc
控制系統設計,吳炳飛,107學年,作業,doc,HW5,大三以上選修/控制系統設計/吳炳飛/HW/2018S/CSD_2018_Homework5.doc
控制系統設計,吳炳飛,108學年,作業,pdf,HW1,大三以上選修/控制系統設計/吳炳飛/HW/2019S/ACS-2019-Homework-1-ans.pdf
控制系統設計,吳炳飛,108學年,作業,pdf,HW2,大三以上選修/控制系統設計/吳炳飛/HW/2019S/ACS-2019-Homework-2-ans.pdf
控制系統設計,吳炳飛,109學年,小考,pdf,quiz1,大三以上選修/控制系統設計/吳炳飛/2021S/quiz1.pdf
控制系統設計,吳炳飛,109學年,作業,zip,HW1,大三以上選修/控制系統設計/吳炳飛/HW/2020S/HW1.zip
