年級,科目,教授,年份,類別,名稱,路徑
大三以上,固態電子學,李義明,107學年,小考,quiz1_sol,大三以上選修/固態電子學/李義明/quiz_sol/2018_quiz1_sol.pdf
大三以上,計算機組織,劉志尉,105學年,期中考,midterm,大三以上選修/計算機組織/劉志尉/2016/midterm.zip
大三以上,計算機組織,劉志尉,109學年,期中考,midterm,大三以上選修/計算機組織/劉志尉/2020/midterm.zip
大三以上,計算機組織,賴伯承,109學年,期中考,midterm,大三以上選修/計算機組織/賴伯承/考古/2020_midterm.zip
大三以上,計算機組織,賴伯承,nan,作業,homework2,大三以上選修/計算機組織/賴伯承/作業/hw2.pdf
大三以上,計算機組織,賴伯承,nan,作業,homework2_sol,大三以上選修/計算機組織/賴伯承/作業/hw2-ans.docx
大三以上,計算機組織,賴伯承,nan,作業,homework4,大三以上選修/計算機組織/賴伯承/作業/hw4.docx
大三以上,計算機組織,賴伯承,nan,作業,homework4_sol,大三以上選修/計算機組織/賴伯承/作業/hw4-ans.docx
大三以上,計算機組織,nan,108學年,小考,exam1,大三以上選修/計算機組織/Unknown/2019/exam1.zip
大三以上,計算機組織,nan,108學年,小考,exam2,大三以上選修/計算機組織/Unknown/2019/exam2.zip
大三以上,計算機組織,nan,108學年,小考,exam3,大三以上選修/計算機組織/Unknown/2019/exam3.zip
大三以上,計算機組織,nan,108學年,期中考,midterm1,大三以上選修/計算機組織/Unknown/spring2019/midterm1.zip
大三以上,計算機組織,nan,108學年,期中考,midterm2,大三以上選修/計算機組織/Unknown/spring2019/midterm2.zip
大三以上,計算機網路概論,陳志成,110學年,小考,exam1,大三以上選修/計算機網路概論/陳志成/exam1.zip
大三以上,計算機網路概論,陳志成,110學年,小考,exam2,大三以上選修/計算機網路概論/陳志成/exam2.zip
大三以上,計算機網路概論,陳志成,110學年,小考,exam3,大三以上選修/計算機網路概論/陳志成/exam3.zip
大三以上,計算機網路概論,陳志成,110學年,小考,exam4,大三以上選修/計算機網路概論/陳志成/exam4.zip
大三以上,射頻電路原理與實驗,紀佩綾,99學年,期末考,final,大三以上選修/射頻電路原理與實驗/紀佩綾/射頻電路實驗/考古/99.zip
大三以上,射頻電路原理與實驗,紀佩綾,100學年,期末考,final,大三以上選修/射頻電路原理與實驗/紀佩綾/射頻電路實驗/考古/100.zip
大三以上,射頻電路原理與實驗,紀佩綾,101學年,期末考,final,大三以上選修/射頻電路原理與實驗/紀佩綾/射頻電路實驗/考古/101.zip
大三以上,射頻電路原理與實驗,紀佩綾,102學年,期末考,final,大三以上選修/射頻電路原理與實驗/紀佩綾/射頻電路實驗/考古/102.zip
大三以上,射頻電路原理與實驗,紀佩綾,103學年,期末考,final,大三以上選修/射頻電路原理與實驗/紀佩綾/射頻電路實驗/考古/1022.zip
大三以上,射頻電路原理與實驗,紀佩綾,105學年,實驗,lab1結報,大三以上選修/射頻電路原理與實驗/紀佩綾/射頻電路實驗/lab1/LAB1結報.docx
大三以上,射頻電路原理與實驗,紀佩綾,105學年,實驗,lab2結報,大三以上選修/射頻電路原理與實驗/紀佩綾/射頻電路實驗/lab2/LAB2-LPF.docx
大三以上,射頻電路原理與實驗,紀佩綾,nan,講義,Introduction,大三以上選修/射頻電路原理與實驗/紀佩綾/射頻實驗1-Introduction.pdf
大三以上,射頻電路原理與實驗,紀佩綾,nan,講義,LPF,大三以上選修/射頻電路原理與實驗/紀佩綾/射頻實驗2-LPF.pdf
大三以上,射頻電路原理與實驗,紀佩綾,nan,講義,Antenna,大三以上選修/射頻電路原理與實驗/紀佩綾/射頻實驗3-Antenna.pdf
大三以上,射頻電路原理與實驗,紀佩綾,nan,講義,Mixer,大三以上選修/射頻電路原理與實驗/紀佩綾/射頻實驗4-Mixer.pdf
大三以上,射頻電路原理與實驗,紀佩綾,nan,講義,LNA,大三以上選修/射頻電路原理與實驗/紀佩綾/射頻實驗5-LNA.pdf
